Enrollment_no,Name,Technology,Welcome_test,Presentation,Mini_projects,Hrskills,Project_presentation,Project_submission,Attendance,Discipline,Grade
3371,Karan Singh,Data Sci,40,135,70,131,242,215,88,70,A++
3372,Sana Joshi,Robotics,43,119,98,145,226,261,77,93,A++
3373,Aditya Patel,Robotics,32,111,72,126,224,296,87,74,A++
3374,Aditya Rana,Data Sci,36,90,72,118,224,210,82,75,A++
3375,Aditya Patel,Web Dev,45,130,67,93,196,281,72,61,A++
3376,Divya Roy,ML,37,112,90,116,206,287,93,71,A++
3377,Aditya Mehta,Data Sci,48,90,97,144,248,278,92,83,A++
3378,Neha Chawla,Data Sci,45,92,72,150,210,218,88,90,A++
3379,Neha Rana,ML,46,118,64,106,226,296,89,73,A++
3380,Rahul Singh,Data Sci,34,130,86,137,214,292,95,88,A++
3381,Rahul Singh,ML,31,150,63,98,218,260,77,94,A++
3382,Sneha Patel,AI,43,102,60,121,244,231,75,75,A++
3383,Meera Roy,Web Dev,44,130,62,117,194,262,99,69,A++
3384,Aryan Deshmukh,Data Sci,33,109,93,130,219,200,92,60,A++
3385,Meera Mehta,Robotics,33,130,74,134,193,218,87,75,A++
3386,Rahul Verma,Web Dev,34,95,85,105,169,298,85,87,A++
3387,Rahul Deshmukh,Java,49,111,67,107,248,216,86,65,A++
3388,Anjali Patel,AI,41,105,96,93,222,282,93,93,A++
3389,Vikas Gupta,AI,38,99,86,136,246,264,72,90,A++
3390,Sana Iyer,Robotics,30,94,92,139,193,245,90,84,A++
3391,Sana Gupta,Java,30,129,61,125,227,228,99,98,A++
3392,Rohit Verma,ML,37,134,66,127,174,253,74,68,A++
3393,Ravi Iyer,ML,34,144,94,140,207,256,71,89,A++
3394,Priya Chawla,Java,39,94,72,101,200,294,96,81,A++
3395,Karan Kapoor,Data Sci,30,135,83,133,197,293,94,94,A++
3396,Meera Nair,AI,34,118,81,141,198,232,96,61,A++
3397,Rohit Nair,AI,33,135,92,144,172,295,80,98,A++
3398,Vikas Chawla,IoT,38,141,62,144,232,219,92,97,A++
3399,Neha Roy,Web Dev,34,140,88,110,237,227,83,83,A++
3400,Anjali Sharma,IoT,45,123,66,137,195,216,88,91,A++
3401,Divya Mehta,ML,38,148,62,123,182,286,99,100,A++
3402,Meera Patel,IoT,37,150,91,144,244,239,87,64,A++
3403,Priya Chawla,Robotics,41,143,100,126,230,216,70,92,A++
3404,Divya Nair,IoT,46,143,60,135,235,286,93,94,A++
3405,Rahul Kapoor,Web Dev,47,142,79,133,221,263,85,76,A++
3406,Rahul Patel,IoT,41,143,100,130,224,246,96,82,A++
3407,Divya Chawla,ML,30,123,76,120,211,272,77,90,A++
3408,Rohit Patel,Robotics,42,104,91,90,240,273,85,80,A++
3409,Divya Joshi,Robotics,46,97,76,123,199,236,75,83,A++
3410,Ravi Gupta,IoT,45,94,70,127,227,224,80,68,A++
3411,Aryan Deshmukh,Data Sci,48,97,86,142,217,221,98,73,A++
3412,Neha Sharma,IoT,46,141,64,105,190,253,74,80,A++
3413,Nisha Nair,AI,44,118,65,126,217,261,91,69,A++
3414,Sana Yadav,IoT,40,145,84,115,160,279,81,61,A++
3415,Rohit Iyer,ML,36,141,74,102,172,208,75,76,A+
3416,Rahul Kapoor,Data Sci,45,109,70,93,161,240,72,81,A+
3417,Vikas Singh,ML,31,90,99,114,232,290,78,88,A++
3418,Neha Sharma,Data Sci,49,137,97,146,217,296,87,99,A++
3419,Rohit Iyer,AI,35,110,64,137,178,280,76,92,A++
3420,Sana Deshmukh,IoT,30,105,65,90,181,242,99,84,A+
3421,Rahul Sharma,IoT,43,109,95,109,182,211,89,73,A++
3422,Rahul Rana,IoT,50,105,78,140,196,257,94,63,A++
3423,Rahul Yadav,AI,43,123,69,137,198,230,86,95,A++
3424,Sana Roy,Web Dev,44,109,64,146,204,255,78,93,A++
3425,Vikas Joshi,Java,43,149,84,92,171,273,72,64,A++
3426,Aryan Mehta,Java,47,110,99,126,223,250,82,65,A++
3427,Divya Deshmukh,IoT,41,108,88,139,220,279,89,86,A++
3428,Ravi Kapoor,IoT,47,117,79,137,243,269,85,63,A++
3429,Sneha Yadav,Robotics,38,110,62,112,245,245,84,64,A++
3430,Sneha Iyer,ML,40,92,80,120,175,258,75,88,A++
3431,Sneha Deshmukh,Web Dev,46,148,62,92,219,297,99,69,A++
3432,Anjali Kapoor,Java,33,140,78,134,237,288,81,97,A++
3433,Sneha Roy,ML,48,102,60,122,205,278,73,87,A++
3434,Anjali Verma,Robotics,32,141,95,125,192,258,79,94,A++
3435,Nisha Mehta,ML,44,113,80,147,187,251,99,79,A++
3436,Rahul Gupta,AI,38,149,66,142,233,250,83,96,A++
3437,Divya Roy,Java,44,96,61,95,176,284,76,96,A++
3438,Vikas Rana,ML,30,115,90,95,180,202,92,89,A+
3439,Sneha Joshi,IoT,39,136,80,103,206,241,70,86,A++
3440,Aditya Yadav,Data Sci,30,109,70,120,232,261,88,97,A++
3441,Aryan Nair,AI,35,143,89,106,227,252,90,68,A++
3442,Karan Roy,AI,47,97,69,137,192,249,88,63,A++
3443,Nisha Yadav,Robotics,36,97,65,104,211,259,86,67,A++
3444,Priya Deshmukh,Java,30,147,97,139,215,229,98,75,A++
3445,Aditya Mehta,IoT,34,130,69,93,248,249,87,73,A++
3446,Rohit Sharma,IoT,38,129,71,92,180,259,90,73,A++
3447,Karan Nair,Data Sci,35,103,100,95,163,238,92,99,A++
3448,Sneha Singh,Web Dev,47,98,64,130,192,233,99,93,A++
3449,Sana Joshi,AI,49,119,96,143,201,240,81,66,A++
3450,Nisha Kapoor,Robotics,45,100,61,150,224,210,88,79,A++
3451,Sneha Rana,IoT,49,148,65,105,160,249,82,67,A++
3452,Sana Iyer,AI,48,122,91,97,177,271,100,63,A++
3453,Vikas Sharma,ML,37,108,61,123,215,205,74,73,A+
3454,Vikas Yadav,ML,35,105,87,142,210,254,92,65,A++
3455,Divya Yadav,Robotics,36,120,93,130,212,267,91,98,A++
3456,Anjali Nair,Robotics,46,150,86,149,189,236,97,68,A++
3457,Karan Yadav,Data Sci,47,115,88,122,230,277,80,79,A++
3458,Divya Yadav,AI,42,116,83,123,191,269,73,97,A++
3459,Neha Joshi,Robotics,46,126,92,132,236,268,94,86,A++
3460,Aditya Iyer,Web Dev,42,145,99,115,236,262,78,82,A++
3461,Neha Rana,ML,45,102,76,118,184,234,94,84,A++
3462,Rohit Chawla,Java,30,104,81,93,181,281,89,65,A++
3463,Rahul Sharma,IoT,36,150,76,135,226,288,97,80,A++
3464,Neha Verma,Data Sci,32,125,91,106,176,249,93,99,A++
3465,Priya Singh,Data Sci,41,140,74,130,166,292,80,81,A++
3466,Sana Nair,IoT,35,93,79,146,241,276,99,72,A++
3467,Nisha Iyer,Java,37,142,70,103,220,225,98,67,A++
3468,Nisha Roy,Java,50,144,95,118,216,256,76,87,A++
3469,Sneha Singh,Robotics,31,140,90,114,212,225,76,97,A++
3470,Aditya Verma,ML,33,144,97,136,220,250,100,92,A++
3471,Divya Gupta,IoT,50,137,70,148,240,211,91,87,A++
3472,Sneha Nair,Web Dev,50,98,60,116,217,288,83,95,A++
3473,Ravi Deshmukh,Robotics,39,122,85,139,170,259,95,66,A++
3474,Karan Sharma,Web Dev,49,131,95,133,217,273,99,76,A++
3475,Sneha Sharma,Java,42,142,71,100,164,212,88,80,A+
3476,Anjali Deshmukh,Robotics,35,111,76,144,184,275,86,87,A++
3477,Ravi Mehta,Web Dev,49,144,63,134,197,279,97,69,A++
3478,Ravi Rana,AI,48,149,97,129,187,253,75,89,A++
3479,Neha Rana,IoT,39,99,64,102,162,225,99,69,A+
3480,Ravi Iyer,Data Sci,33,129,60,150,250,287,80,63,A++
3481,Rahul Yadav,Web Dev,47,107,96,145,224,200,71,88,A++
3482,Anjali Nair,IoT,36,113,89,110,237,284,76,65,A++
3483,Rohit Deshmukh,AI,45,93,81,117,216,212,84,67,A++
3484,Rohit Singh,AI,30,99,71,90,203,254,88,65,A++
3485,Aryan Iyer,Java,48,92,92,137,184,205,72,90,A++
3486,Neha Gupta,Data Sci,38,100,67,137,175,220,96,99,A++
3487,Sneha Mehta,Web Dev,36,150,86,103,176,225,81,67,A++
3488,Meera Kapoor,IoT,47,100,70,130,200,245,77,72,A++
3489,Divya Mehta,Robotics,32,127,79,107,225,270,82,60,A++
3490,Nisha Deshmukh,Web Dev,37,119,90,109,176,205,74,67,A+
3491,Neha Rana,AI,43,96,69,138,218,258,91,97,A++
3492,Meera Gupta,Data Sci,41,149,66,99,249,243,93,88,A++
3493,Rahul Chawla,Java,32,137,66,136,224,277,77,83,A++
3494,Priya Iyer,IoT,30,147,86,131,200,207,72,99,A++
3495,Neha Chawla,ML,34,139,85,113,202,275,98,90,A++
3496,Rahul Iyer,AI,47,134,84,120,233,288,86,86,A++
3497,Neha Patel,Robotics,44,97,63,112,184,240,85,73,A+
3498,Sana Yadav,Data Sci,34,111,62,134,245,290,73,78,A++
3499,Rohit Nair,AI,43,105,66,150,243,284,94,72,A++
3500,Priya Joshi,Java,33,148,66,146,214,283,85,80,A++
3501,Vikas Patel,IoT,41,106,97,132,161,283,92,73,A++
3502,Aryan Mehta,ML,47,94,78,118,208,280,98,61,A++
3503,Aditya Joshi,Web Dev,46,125,89,138,238,270,76,65,A++
3504,Neha Gupta,Web Dev,49,99,91,95,178,250,74,90,A++
3505,Rohit Iyer,Web Dev,31,90,91,126,228,275,98,95,A++
3506,Meera Deshmukh,IoT,45,144,81,133,201,216,72,88,A++
3507,Aditya Mehta,IoT,45,134,85,131,201,265,76,74,A++
3508,Priya Joshi,ML,39,119,65,130,227,249,70,98,A++
3509,Priya Gupta,Web Dev,39,98,67,109,199,286,95,97,A++
3510,Aditya Rana,Data Sci,48,132,62,121,199,201,78,72,A++
3511,Meera Yadav,ML,48,131,79,124,241,279,90,65,A++
3512,Ravi Iyer,Data Sci,38,145,76,109,179,244,76,77,A++
3513,Sana Mehta,Robotics,36,147,97,112,208,225,89,60,A++
3514,Sneha Patel,Robotics,48,121,72,92,234,226,71,83,A++
3515,Rahul Mehta,Robotics,34,119,97,142,236,286,83,99,A++
3516,Sana Verma,ML,37,99,77,132,193,232,93,65,A++
3517,Aryan Kapoor,Java,35,127,61,123,234,227,71,69,A++
3518,Sneha Deshmukh,ML,50,125,69,127,230,237,71,71,A++
3519,Priya Roy,AI,47,114,90,111,163,269,82,77,A++
3520,Nisha Roy,IoT,37,120,61,147,224,239,88,67,A++
3521,Anjali Yadav,Java,46,92,68,100,229,201,80,73,A+
3522,Aryan Roy,IoT,37,134,63,107,250,240,88,71,A++
3523,Divya Nair,AI,31,107,78,124,181,230,83,80,A++
3524,Aryan Deshmukh,ML,40,118,75,124,172,203,76,89,A+
3525,Aditya Joshi,AI,50,149,67,110,240,264,84,95,A++
3526,Vikas Chawla,Data Sci,48,119,71,107,221,261,70,75,A++
3527,Anjali Yadav,IoT,50,137,66,90,200,221,77,85,A++
3528,Sneha Mehta,Data Sci,50,100,75,147,220,238,71,88,A++
3529,Rohit Yadav,Java,36,91,61,95,207,274,74,73,A++
3530,Priya Kapoor,Java,50,136,69,99,181,280,96,97,A++
3531,Aryan Deshmukh,AI,48,108,74,110,217,297,74,87,A++
3532,Divya Kapoor,AI,50,94,72,119,176,230,88,86,A++
3533,Aditya Singh,IoT,39,143,88,102,250,237,73,66,A++
3534,Aditya Verma,Robotics,45,124,83,114,180,297,74,77,A++
3535,Rohit Chawla,Robotics,30,97,87,125,198,223,91,76,A++
3536,Sana Sharma,AI,35,98,72,106,231,236,71,99,A++
3537,Aditya Rana,Java,34,130,62,150,216,291,70,86,A++
3538,Priya Mehta,Java,43,112,66,130,232,207,75,62,A++
3539,Sana Verma,IoT,39,149,95,150,244,250,78,86,A++
3540,Sana Mehta,Robotics,42,143,63,126,180,293,97,80,A++
3541,Vikas Deshmukh,Data Sci,46,101,60,125,182,240,81,79,A++
3542,Priya Patel,Web Dev,44,97,68,96,171,269,74,85,A++
3543,Anjali Singh,IoT,45,94,79,136,248,236,82,98,A++
3544,Nisha Gupta,ML,39,129,98,143,196,291,80,61,A++
3545,Ravi Verma,ML,39,136,80,108,193,296,96,85,A++
3546,Meera Mehta,Data Sci,39,137,61,150,214,276,92,67,A++
3547,Priya Iyer,ML,31,102,66,150,162,215,99,62,A+
3548,Aryan Kapoor,Data Sci,42,139,75,126,222,280,75,72,A++
3549,Karan Mehta,ML,40,134,65,149,228,260,70,96,A++
3550,Rohit Sharma,Robotics,38,112,72,133,202,285,74,78,A++
3551,Priya Iyer,Web Dev,47,136,97,114,182,240,84,90,A++
3552,Neha Nair,Data Sci,36,137,71,95,210,211,93,100,A++
3553,Nisha Joshi,Data Sci,35,110,75,135,196,273,76,65,A++
3554,Rohit Sharma,Robotics,39,132,88,94,196,203,74,89,A++
3555,Karan Joshi,AI,50,127,87,143,243,243,96,78,A++
3556,Divya Yadav,Robotics,44,103,63,138,234,291,79,95,A++
3557,Priya Joshi,ML,32,106,73,95,203,240,72,93,A++
3558,Rahul Kapoor,Robotics,46,149,90,126,170,266,95,75,A++
3559,Nisha Roy,AI,47,136,84,105,176,246,77,97,A++
3560,Neha Verma,Web Dev,37,103,61,131,233,210,98,79,A++
3561,Rohit Mehta,Web Dev,38,125,91,102,175,241,75,64,A++
3562,Aryan Rana,ML,47,103,94,147,179,272,85,97,A++
3563,Sana Sharma,Web Dev,30,109,79,109,171,264,70,97,A++
3564,Vikas Kapoor,ML,50,139,66,141,180,234,79,84,A++
3565,Divya Deshmukh,ML,33,125,81,100,186,216,87,95,A++
3566,Divya Yadav,Java,49,138,88,119,174,257,92,81,A++
3567,Anjali Nair,Robotics,31,146,74,127,220,209,86,69,A++
3568,Sneha Singh,AI,47,125,69,149,230,223,96,99,A++
3569,Rahul Iyer,IoT,42,108,96,135,237,284,77,69,A++
3570,Sneha Roy,Robotics,35,100,97,143,172,216,85,68,A++
3571,Vikas Joshi,IoT,42,123,84,114,178,215,96,88,A++
3572,Aditya Iyer,IoT,47,90,94,118,245,213,96,77,A++
3573,Anjali Roy,Java,31,94,63,139,175,273,82,67,A++
3574,Priya Singh,Data Sci,46,123,65,98,249,256,86,77,A++
3575,Aditya Nair,Data Sci,32,109,79,105,182,285,76,90,A++
3576,Aditya Rana,AI,40,119,87,128,184,257,100,91,A++
3577,Priya Gupta,AI,34,131,88,97,243,281,82,99,A++
3578,Aditya Gupta,AI,39,116,61,92,228,210,78,94,A++
3579,Nisha Iyer,Robotics,50,111,85,111,173,243,84,79,A++
3580,Nisha Singh,AI,47,150,77,98,172,283,71,88,A++
3581,Ravi Iyer,Web Dev,45,110,65,147,160,271,94,82,A++
3582,Rahul Yadav,Java,43,136,81,146,206,233,88,75,A++
3583,Karan Kapoor,Web Dev,31,107,75,139,213,227,79,65,A++
3584,Anjali Roy,Java,37,123,74,91,245,218,94,76,A++
3585,Anjali Patel,ML,33,115,78,137,214,214,93,83,A++
3586,Priya Deshmukh,IoT,45,137,89,110,176,221,81,78,A++
3587,Vikas Joshi,ML,35,104,60,91,224,260,78,83,A++
3588,Sneha Joshi,Web Dev,31,141,64,101,194,206,82,67,A+
3589,Aryan Gupta,Data Sci,48,125,69,130,216,201,90,67,A++
3590,Neha Singh,Robotics,37,91,67,136,210,268,81,93,A++
3591,Rohit Roy,IoT,39,104,79,139,185,266,84,87,A++
3592,Sana Sharma,IoT,42,128,88,117,235,272,84,83,A++
3593,Meera Rana,Data Sci,49,125,97,148,197,270,96,65,A++
3594,Aditya Mehta,AI,50,95,97,122,209,275,79,87,A++
3595,Nisha Chawla,IoT,30,130,93,90,222,242,73,86,A++
3596,Aditya Nair,Data Sci,47,107,70,148,194,272,74,100,A++
3597,Rohit Iyer,AI,32,128,77,139,168,226,98,96,A++
3598,Aditya Mehta,Web Dev,41,109,70,128,206,262,71,80,A++
3599,Sneha Kapoor,Web Dev,33,114,95,99,178,237,78,70,A++
3600,Divya Deshmukh,Java,48,117,86,129,197,258,72,62,A++
3601,Sneha Deshmukh,IoT,45,96,74,128,222,232,79,100,A++
3602,Priya Gupta,ML,38,109,82,115,176,286,88,66,A++
3603,Nisha Yadav,Java,33,96,67,150,175,217,80,100,A++
3604,Nisha Verma,ML,42,112,64,147,201,231,77,61,A++
3605,Nisha Chawla,Java,41,95,88,100,188,299,92,95,A++
3606,Rahul Rana,IoT,37,128,81,127,190,295,100,69,A++
3607,Nisha Sharma,Java,32,111,90,106,173,274,99,95,A++
3608,Neha Iyer,Web Dev,38,134,73,129,178,214,70,95,A++
3609,Karan Patel,IoT,39,102,64,149,160,292,84,85,A++
3610,Nisha Yadav,Robotics,48,107,92,96,213,292,70,77,A++
3611,Neha Kapoor,Robotics,38,111,68,122,167,215,89,68,A+
3612,Sana Kapoor,AI,40,95,82,148,248,281,93,86,A++
3613,Sneha Verma,AI,47,137,67,135,190,232,92,74,A++
3614,Nisha Patel,Data Sci,44,146,86,106,202,264,89,91,A++
3615,Rohit Roy,Data Sci,40,143,89,124,179,292,87,69,A++
3616,Ravi Joshi,Robotics,38,135,83,131,181,296,99,99,A++
3617,Divya Deshmukh,Java,34,114,98,147,243,284,98,66,A++
3618,Sneha Gupta,Java,39,131,86,146,239,296,86,96,A++
3619,Karan Verma,IoT,43,110,92,101,246,244,75,92,A++
3620,Rahul Kapoor,Robotics,47,120,80,110,219,297,98,98,A++
3621,Anjali Joshi,Robotics,38,132,94,118,191,291,83,90,A++
3622,Aryan Sharma,IoT,38,143,61,139,240,212,72,100,A++
3623,Sana Verma,Robotics,34,133,99,93,214,292,88,92,A++
3624,Aryan Nair,Data Sci,37,142,69,138,215,288,92,67,A++
3625,Neha Chawla,Web Dev,46,125,83,123,171,217,94,67,A++
3626,Ravi Mehta,Data Sci,34,118,92,119,226,213,99,62,A++
3627,Meera Rana,Web Dev,47,91,72,115,229,262,89,99,A++
3628,Ravi Rana,Data Sci,40,145,97,113,233,216,88,66,A++
3629,Sneha Gupta,Data Sci,36,143,93,104,245,210,74,61,A++
3630,Sneha Roy,ML,48,90,73,123,163,209,79,76,A+
3631,Aryan Roy,IoT,31,93,73,96,181,283,83,73,A++
3632,Sana Yadav,Robotics,42,92,63,123,232,278,90,85,A++
3633,Rahul Roy,AI,44,96,69,146,196,268,76,77,A++
3634,Rahul Deshmukh,Web Dev,42,121,93,144,187,202,93,79,A++
3635,Rohit Deshmukh,Java,39,135,62,112,194,255,84,88,A++
3636,Rahul Joshi,ML,35,109,96,105,223,264,93,93,A++
3637,Divya Roy,Java,49,99,66,113,224,242,90,79,A++
3638,Priya Iyer,ML,48,124,68,148,194,257,84,72,A++
3639,Sana Nair,Robotics,46,114,91,98,198,242,84,73,A++
3640,Divya Patel,IoT,49,111,83,144,238,262,80,68,A++
3641,Rohit Yadav,Data Sci,44,131,96,142,245,237,94,65,A++
3642,Priya Chawla,IoT,50,103,71,140,198,299,87,83,A++
3643,Nisha Sharma,AI,50,145,67,133,240,214,78,74,A++
3644,Rohit Joshi,IoT,40,106,92,94,209,266,100,100,A++
3645,Ravi Sharma,Robotics,34,134,85,140,215,221,86,97,A++
3646,Vikas Kapoor,IoT,39,144,60,124,235,268,93,70,A++
3647,Aditya Singh,ML,30,118,80,124,175,253,83,98,A++
3648,Anjali Deshmukh,Java,31,123,74,132,210,247,77,80,A++
3649,Neha Joshi,Java,47,141,65,98,216,288,92,95,A++
3650,Karan Sharma,Data Sci,40,120,64,100,170,219,88,98,A+
3651,Anjali Gupta,AI,36,108,62,131,235,218,96,67,A++
3652,Neha Singh,ML,46,101,68,113,225,290,95,83,A++
3653,Aditya Rana,ML,49,145,83,109,247,222,76,97,A++
3654,Neha Roy,ML,39,107,76,108,213,226,83,74,A++
3655,Anjali Deshmukh,IoT,30,108,84,110,194,226,76,70,A+
3656,Priya Verma,Robotics,49,127,89,105,233,206,96,98,A++
3657,Sneha Mehta,AI,50,124,91,115,211,204,77,64,A++
3658,Rohit Singh,AI,42,105,83,127,205,240,87,85,A++
3659,Aditya Rana,Java,38,97,72,142,178,202,90,64,A+
3660,Sneha Singh,ML,43,123,96,127,178,243,87,88,A++
3661,Meera Mehta,Web Dev,31,104,73,124,179,223,96,92,A++
3662,Rahul Rana,IoT,35,100,86,145,182,254,77,74,A++
3663,Karan Nair,IoT,40,124,78,131,205,265,80,97,A++
3664,Nisha Kapoor,AI,40,118,97,123,178,214,99,64,A++
3665,Neha Iyer,ML,45,140,92,110,162,285,73,71,A++
3666,Aditya Patel,AI,34,142,65,119,178,207,86,95,A++
3667,Meera Patel,ML,49,103,98,128,163,252,81,87,A++
3668,Aryan Yadav,Java,42,109,94,125,170,203,95,87,A++
3669,Rohit Nair,Robotics,37,112,95,114,188,256,95,86,A++
3670,Meera Sharma,AI,39,120,77,126,213,293,82,100,A++
3671,Neha Yadav,AI,43,96,73,107,237,300,80,83,A++
3672,Aryan Iyer,Java,33,137,76,109,162,291,78,100,A++
3673,Divya Joshi,Data Sci,45,105,87,141,249,246,80,85,A++
3674,Aditya Verma,Java,35,115,97,110,187,298,84,98,A++
3675,Aryan Deshmukh,ML,42,102,64,141,178,202,87,86,A++
3676,Sneha Joshi,AI,49,122,65,133,191,230,100,82,A++
3677,Karan Rana,IoT,32,104,95,115,206,244,71,78,A++
3678,Priya Joshi,Java,34,138,69,91,171,239,73,68,A+
3679,Sana Rana,AI,38,144,63,118,165,221,70,79,A+
3680,Meera Chawla,Robotics,34,124,86,99,225,221,90,85,A++
3681,Rahul Iyer,ML,47,97,75,145,198,293,71,71,A++
3682,Vikas Iyer,IoT,50,106,61,114,246,217,92,81,A++
3683,Sneha Sharma,Java,47,131,70,150,249,226,97,77,A++
3684,Meera Nair,Web Dev,38,117,86,118,208,299,96,94,A++
3685,Sneha Chawla,AI,37,99,82,92,171,294,100,65,A++
3686,Nisha Patel,IoT,46,128,69,117,174,296,82,63,A++
3687,Rohit Rana,IoT,45,124,98,94,240,278,74,98,A++
3688,Sneha Chawla,Java,48,129,86,107,215,249,83,60,A++
3689,Sana Sharma,Robotics,35,104,90,144,175,269,95,99,A++
3690,Rohit Rana,Web Dev,40,126,88,109,197,253,88,85,A++
3691,Anjali Gupta,Java,46,143,80,144,217,273,71,91,A++
3692,Ravi Patel,AI,36,141,70,143,162,205,80,63,A++
3693,Anjali Deshmukh,AI,43,124,80,99,236,254,71,91,A++
3694,Rohit Verma,IoT,40,134,63,99,185,273,75,81,A++
3695,Divya Nair,Data Sci,37,122,72,123,239,252,71,98,A++
3696,Neha Gupta,Data Sci,30,129,63,126,191,223,94,84,A++
3697,Aryan Deshmukh,Web Dev,37,115,67,104,207,272,85,65,A++
3698,Aditya Kapoor,ML,50,113,61,118,184,207,98,86,A++
3699,Karan Chawla,Data Sci,45,142,63,113,160,290,92,76,A++
3700,Nisha Patel,Java,38,96,95,129,248,215,71,85,A++
3701,Sana Kapoor,Data Sci,33,98,62,102,248,291,89,92,A++
3702,Divya Singh,IoT,38,110,80,125,220,240,86,86,A++
3703,Rahul Roy,ML,43,102,87,97,219,281,89,70,A++
3704,Aryan Iyer,Robotics,38,111,88,134,174,283,75,94,A++
3705,Meera Joshi,Web Dev,44,149,82,93,165,226,91,82,A++
3706,Rahul Chawla,Java,47,129,61,137,189,300,86,84,A++
3707,Priya Joshi,ML,40,147,74,112,208,261,73,73,A++
3708,Aryan Nair,Java,34,120,70,101,227,236,86,76,A++
3709,Vikas Nair,Web Dev,37,129,97,134,229,205,90,65,A++
3710,Sneha Kapoor,ML,39,124,70,118,234,272,73,96,A++
3711,Vikas Verma,Robotics,37,92,85,97,209,292,86,95,A++
3712,Sneha Yadav,AI,42,99,74,116,210,293,96,88,A++
3713,Ravi Nair,AI,43,92,97,119,184,249,71,84,A++
3714,Rahul Joshi,Data Sci,38,121,100,100,219,300,94,76,A++
3715,Vikas Iyer,Web Dev,35,95,67,96,219,298,97,68,A++
3716,Neha Roy,Robotics,47,121,99,126,195,279,72,66,A++
3717,Rohit Chawla,Web Dev,34,105,84,149,190,270,72,61,A++
3718,Karan Joshi,Web Dev,46,100,100,127,179,231,74,98,A++
3719,Rahul Kapoor,ML,39,110,70,94,213,246,96,73,A++
3720,Nisha Verma,AI,31,117,89,104,222,277,76,68,A++
3721,Divya Nair,Data Sci,38,132,82,150,216,227,70,100,A++
3722,Aditya Yadav,IoT,32,103,99,130,237,291,87,93,A++
3723,Sana Joshi,Data Sci,36,134,96,130,185,237,74,73,A++
3724,Aditya Rana,Web Dev,49,130,90,102,182,250,100,95,A++
3725,Nisha Nair,Robotics,48,118,89,96,246,274,90,96,A++
3726,Aryan Yadav,Web Dev,44,132,85,149,204,264,74,92,A++
3727,Sana Patel,ML,49,114,91,94,170,291,95,77,A++
3728,Nisha Rana,AI,38,147,97,98,243,232,95,72,A++
3729,Meera Verma,Robotics,44,109,72,130,208,209,96,62,A++
3730,Sana Deshmukh,Robotics,31,121,80,112,203,275,100,98,A++
3731,Anjali Yadav,AI,42,94,68,90,198,265,89,76,A++
3732,Sneha Kapoor,IoT,30,104,63,136,227,215,99,85,A++
3733,Priya Mehta,Java,43,149,85,95,196,234,96,69,A++
3734,Priya Chawla,Web Dev,38,105,70,126,207,236,95,67,A++
3735,Priya Gupta,Robotics,46,116,73,119,208,235,88,63,A++
3736,Aryan Mehta,AI,48,100,64,101,205,272,97,83,A++
3737,Karan Joshi,IoT,30,95,93,119,180,271,95,76,A++
3738,Priya Deshmukh,Data Sci,38,133,85,91,215,248,71,78,A++
3739,Sneha Verma,Robotics,32,95,93,115,247,252,83,96,A++
3740,Anjali Roy,ML,33,98,70,122,201,220,96,72,A++
3741,Anjali Mehta,Java,31,145,63,124,195,225,72,97,A++
3742,Karan Mehta,ML,34,116,87,143,174,247,100,90,A++
3743,Nisha Chawla,Java,35,99,78,100,161,242,96,86,A+
3744,Aryan Chawla,Data Sci,37,125,64,145,203,239,89,97,A++
3745,Aditya Singh,Java,49,114,69,111,161,218,96,82,A++
3746,Neha Nair,Data Sci,41,115,77,109,226,220,88,93,A++
3747,Aditya Gupta,Java,39,110,70,107,228,242,100,87,A++
3748,Sana Verma,Robotics,31,114,95,142,206,292,89,93,A++
3749,Sneha Sharma,Data Sci,36,93,99,111,225,275,81,80,A++
3750,Meera Joshi,Robotics,42,98,94,114,216,282,81,90,A++
3751,Aryan Roy,Robotics,39,106,86,134,204,236,91,66,A++
3752,Vikas Deshmukh,Java,41,121,71,119,224,215,71,97,A++
3753,Priya Mehta,Robotics,37,128,93,122,175,289,96,69,A++
3754,Divya Verma,Data Sci,44,130,97,129,239,231,93,99,A++
3755,Priya Singh,ML,50,117,88,142,191,257,88,66,A++
3756,Sneha Nair,Robotics,48,145,69,120,192,242,87,60,A++
3757,Rohit Chawla,Robotics,40,98,72,138,237,241,95,97,A++
3758,Aryan Roy,Web Dev,42,143,91,139,190,270,99,71,A++
3759,Neha Chawla,Web Dev,39,118,93,148,204,289,86,66,A++
3760,Vikas Patel,ML,41,120,77,114,239,232,86,99,A++
3761,Nisha Deshmukh,Java,41,124,70,109,179,265,80,76,A++
3762,Rohit Gupta,Java,46,147,99,147,212,222,71,62,A++
3763,Vikas Patel,IoT,46,109,84,101,224,243,89,65,A++
3764,Ravi Mehta,Web Dev,48,142,77,150,246,271,84,99,A++
3765,Aditya Gupta,Data Sci,35,141,68,107,219,237,85,100,A++
3766,Rahul Rana,Java,34,99,91,112,239,204,72,93,A++
3767,Rahul Rana,ML,49,121,99,93,164,230,92,64,A++
3768,Ravi Nair,Web Dev,33,125,60,106,166,278,86,66,A++
3769,Rohit Sharma,Data Sci,50,137,91,114,170,219,87,98,A++
3770,Nisha Iyer,Web Dev,32,147,81,146,171,221,78,76,A++
3771,Sana Patel,Java,46,103,100,106,193,258,92,95,A++
